"filename", "language", "TypeScript", "JSON", "Markdown", "TypeScript JSX", "JSON with Comments", "CSS", "HTML", "XML", "JavaScript", "MS SQL", "PowerShell", "comment", "blank", "total"
"c:\Users\Shashwat Suthar\Desktop\xportal\.cursor\plans\finance-f8c5fce1.plan.md", "Markdown", 0, 0, 242, 0, 0, 0, 0, 0, 0, 0, 0, 0, 58, 300
"c:\Users\Shashwat Suthar\Desktop\xportal\.cursor\rules\red-line.mdc", "Markdown", 0, 0, 68, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 76
"c:\Users\Shashwat Suthar\Desktop\xportal\.prettierrc.json", "JSON", 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7
"c:\Users\Shashwat Suthar\Desktop\xportal\CHANGELOG.md", "Markdown", 0, 0, 115, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 130
"c:\Users\Shashwat Suthar\Desktop\xportal\DEPLOYMENT.md", "Markdown", 0, 0, 246, 0, 0, 0, 0, 0, 0, 0, 0, 0, 66, 312
"c:\Users\Shashwat Suthar\Desktop\xportal\README.md", "Markdown", 0, 0, 41, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 51
"c:\Users\Shashwat Suthar\Desktop\xportal\app\(app)\agents\_components\AgentForm.tsx", "TypeScript JSX", 0, 0, 0, 222, 0, 0, 0, 0, 0, 0, 0, 4, 15, 241
"c:\Users\Shashwat Suthar\Desktop\xportal\app\(app)\agents\_components\AgentsDataTable.tsx", "TypeScript JSX", 0, 0, 0, 213, 0, 0, 0, 0, 0, 0, 0, 0, 10, 223
"c:\Users\Shashwat Suthar\Desktop\xportal\app\(app)\agents\_components\DocumentsPane.tsx", "TypeScript JSX", 0, 0, 0, 201, 0, 0, 0, 0, 0, 0, 0, 0, 15, 216
"c:\Users\Shashwat Suthar\Desktop\xportal\app\(app)\agents\_components\NewAgentWizard.tsx", "TypeScript JSX", 0, 0, 0, 274, 0, 0, 0, 0, 0, 0, 0, 10, 19, 303
"c:\Users\Shashwat Suthar\Desktop\xportal\app\(app)\agents\edit\[id]\page.tsx", "TypeScript JSX", 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 3, 14
"c:\Users\Shashwat Suthar\Desktop\xportal\app\(app)\agents\new\page.tsx", "TypeScript JSX", 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 3, 8
"c:\Users\Shashwat Suthar\Desktop\xportal\app\(app)\agents\page.tsx", "TypeScript JSX", 0, 0, 0, 36, 0, 0, 0, 0, 0, 0, 0, 0, 4, 40
"c:\Users\Shashwat Suthar\Desktop\xportal\app\(app)\applications\_components\ApplicationStats.tsx", "TypeScript JSX", 0, 0, 0, 91, 0, 0, 0, 0, 0, 0, 0, 0, 11, 102
"c:\Users\Shashwat Suthar\Desktop\xportal\app\(app)\applications\_components\ApplicationsChart.tsx", "TypeScript JSX", 0, 0, 0, 155, 0, 0, 0, 0, 0, 0, 0, 2, 16, 173
"c:\Users\Shashwat Suthar\Desktop\xportal\app\(app)\applications\_components\ApplicationsColumnsMenu.tsx", "TypeScript JSX", 0, 0, 0, 78, 0, 0, 0, 0, 0, 0, 0, 2, 8, 88
"c:\Users\Shashwat Suthar\Desktop\xportal\app\(app)\applications\_components\ApplicationsDataTable.tsx", "TypeScript JSX", 0, 0, 0, 1023, 0, 0, 0, 0, 0, 0, 0, 33, 59, 1115
"c:\Users\Shashwat Suthar\Desktop\xportal\app\(app)\applications\_components\ApplicationsFilter.tsx", "TypeScript JSX", 0, 0, 0, 557, 0, 0, 0, 0, 0, 0, 0, 11, 35, 603
"c:\Users\Shashwat Suthar\Desktop\xportal\app\(app)\applications\_components\DocumentsPane.tsx", "TypeScript JSX", 0, 0, 0, 205, 0, 0, 0, 0, 0, 0, 0, 0, 15, 220
"c:\Users\Shashwat Suthar\Desktop\xportal\app\(app)\applications\_components\EnrollmentPreview.tsx", "TypeScript JSX", 0, 0, 0, 118, 0, 0, 0, 0, 0, 0, 0, 0, 7, 125
"c:\Users\Shashwat Suthar\Desktop\xportal\app\(app)\applications\_components\ExportDialog.tsx", "TypeScript JSX", 0, 0, 0, 93, 0, 0, 0, 0, 0, 0, 0, 0, 9, 102
"c:\Users\Shashwat Suthar\Desktop\xportal\app\(app)\applications\_components\NewApplicationWizard.tsx", "TypeScript JSX", 0, 0, 0, 1166, 0, 0, 0, 0, 0, 0, 0, 66, 83, 1315
"c:\Users\Shashwat Suthar\Desktop\xportal\app\(app)\applications\_components\OngoingSubjectPreview.tsx", "TypeScript JSX", 0, 0, 0, 113, 0, 0, 0, 0, 0, 0, 0, 3, 12, 128
"c:\Users\Shashwat Suthar\Desktop\xportal\app\(app)\applications\_components\PaymentStep.tsx", "TypeScript JSX", 0, 0, 0, 312, 0, 0, 0, 0, 0, 0, 0, 10, 20, 342
"c:\Users\Shashwat Suthar\Desktop\xportal\app\(app)\applications\_components\applicationsTableColumns.tsx", "TypeScript JSX", 0, 0, 0, 662, 0, 0, 0, 0, 0, 0, 0, 8, 14, 684
"c:\Users\Shashwat Suthar\Desktop\xportal\app\(app)\applications\_components\steps\Step1_PersonalDetails.tsx", "TypeScript JSX", 0, 0, 0, 685, 0, 0, 0, 0, 0, 0, 0, 2, 16, 703
"c:\Users\Shashwat Suthar\Desktop\xportal\app\(app)\applications\_components\steps\Step2_AvetmissDetails.tsx", "TypeScript JSX", 0, 0, 0, 538, 0, 0, 0, 0, 0, 0, 0, 22, 20, 580
"c:\Users\Shashwat Suthar\Desktop\xportal\app\(app)\applications\_components\steps\Step3_AdditionalInfo.tsx", "TypeScript JSX", 0, 0, 0, 487, 0, 0, 0, 0, 0, 0, 0, 47, 41, 575
"c:\Users\Shashwat Suthar\Desktop\xportal\app\(app)\applications\_components\steps\Step3_Cricos.tsx", "TypeScript JSX", 0, 0, 0, 731, 0, 0, 0, 0, 0, 0, 0, 10, 34, 775
"c:\Users\Shashwat Suthar\Desktop\xportal\app\(app)\applications\_components\steps\Step4_Enrollment.tsx", "TypeScript JSX", 0, 0, 0, 311, 0, 0, 0, 0, 0, 0, 0, 15, 26, 352
"c:\Users\Shashwat Suthar\Desktop\xportal\app\(app)\applications\_components\wizard\AddressSearchCommand.tsx", "TypeScript JSX", 0, 0, 0, 155, 0, 0, 0, 0, 0, 0, 0, 7, 10, 172
"c:\Users\Shashwat Suthar\Desktop\xportal\app\(app)\applications\edit\[id]\page.tsx", "TypeScript JSX", 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 4, 12
"c:\Users\Shashwat Suthar\Desktop\xportal\app\(app)\applications\new\page.tsx", "TypeScript JSX", 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 3, 8
"c:\Users\Shashwat Suthar\Desktop\xportal\app\(app)\applications\page.tsx", "TypeScript JSX", 0, 0, 0, 217, 0, 0, 0, 0, 0, 0, 0, 7, 15, 239
"c:\Users\Shashwat Suthar\Desktop\xportal\app\(app)\attendance\page.tsx", "TypeScript JSX", 0, 0, 0, 508, 0, 0, 0, 0, 0, 0, 0, 6, 15, 529
"c:\Users\Shashwat Suthar\Desktop\xportal\app\(app)\communications\mail\page.tsx", "TypeScript JSX", 0, 0, 0, 839, 0, 0, 0, 0, 0, 0, 0, 8, 23, 870
"c:\Users\Shashwat Suthar\Desktop\xportal\app\(app)\communications\sms\page.tsx", "TypeScript JSX", 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 2, 15
"c:\Users\Shashwat Suthar\Desktop\xportal\app\(app)\communications\whatsapp\page.tsx", "TypeScript JSX", 0, 0, 0, 67, 0, 0, 0, 0, 0, 0, 0, 1, 7, 75
